tiempo	presion	sonido	sonido rectificado y amplificado
0,49	10,2051	-2,20871	2,688095889
0,491	10,2051	-2,35443	2,700091206
0,492	10,2051	-2,18994	2,323570335
0,493	10,2051	-1,65344	1,505694468
0,494	10,2051	-0,68222	0,195807258
0,495	10,2051	0,473633	1,222568562
0,496	10,2051	1,24023	2,102741927
0,497	10,2051	1,1647	1,874953618
0,498	10,2295	0,545807	0,982273921
0,499	10,2295	0,111694	0,376657943
0,5	10,2295	0,304413	0,59263394
0,501	10,2539	1,07452	1,516774764
0,502	10,2539	1,94855	2,512753858
0,503	10,2783	2,21893	2,691591239
0,504	10,2783	1,63803	1,795091937
0,505	10,2783	0,776978	0,604731347
0,506	10,3027	0,215759	0,096045431
0,507	10,3027	0,0454712	0,301613832
0,508	10,3271	0,0909424	0,224567239
0,509	10,3271	0,138397	0,149882376
0,51	10,3516	0,0549316	0,243540101
0,511	10,3516	-0,144196	0,475890888
0,512	10,376	-0,50354	0,893913145
0,513	10,376	-1,09024	1,569865288
0,514	10,4004	-1,70685	2,240733606
0,515	10,4004	-1,82114	2,241550024
0,516	10,4248	-1,21475	1,341465146
0,517	10,4492	-0,324402	0,142986768
0,518	10,4492	0,310516	0,620901493
0,519	10,4736	0,605621	0,949513715
0,52	10,4736	0,766754	1,090013621
0,521	10,498	0,884399	1,167325659
0,522	10,5225	0,931396	1,151470037
0,523	10,5225	0,839233	0,962660654
0,524	10,5469	0,632935	0,643045764
0,525	10,5469	0,356293	0,25558287
0,526	10,5713	0,0549316	0,098434262
0,527	10,5713	-0,258484	0,482762318
0,528	10,5957	-0,572968	0,84427783
0,529	10,5957	-0,707245	0,957819902
0,53	10,6201	-0,584564	0,743030416
0,531	10,6201	-0,438843	0,512936551
0,532	10,6445	-0,596924	0,67705241
0,533	10,6445	-0,793152	0,878540315
0,534	10,6689	-0,786438	0,813690862
0,535	10,6689	-0,625153	0,55970227
0,536	10,6689	-0,128326	0,057755247
0,537	10,6934	0,747833	1,148068491
0,538	10,6934	1,36658	1,848110333
0,539	10,6934	1,00693	1,281170999
0,54	10,6934	-0,167084	0,228101486
0,541	10,6934	-1,30173	1,63082031
0,542	10,6934	-1,59576	1,89463371
0,543	10,6934	-0,944061	0,959709977
0,544	10,6934	0,166321	0,449824517
0,545	10,6934	1,13968	1,637003322
0,546	10,6934	1,52115	2,009728233
0,547	10,6934	1,2233	1,509884146
0,548	10,6934	0,697021	0,755909941
0,549	10,6934	0,496521	0,456533081
0,55	10,6934	0,689392	0,667680375
0,551	10,6934	0,964355	0,968175892
0,552	10,6934	1,01974	0,97531822
0,553	10,6934	0,743866	0,567938032
0,554	10,7178	0,241241	0,057284454
0,555	10,7178	-0,258331	0,676893529
0,556	10,7178	-0,621338	1,086865167
0,557	10,7178	-0,895538	1,360068777
0,558	10,7178	-1,16943	1,615721499
0,559	10,7178	-1,38443	1,781696086
0,56	10,7178	-1,39725	1,684517182
0,561	10,7178	-1,18225	1,308669209
0,562	10,7178	-0,881958	0,849821461
0,563	10,7178	-0,66864	0,528521466
0,564	10,7178	-0,589752	0,395446846
0,565	10,6934	-0,609589	0,394139801
0,566	10,6934	-0,569916	0,31852738
0,567	10,6934	-0,243835	0,070344173
0,568	10,6689	0,391235	0,858505181
0,569	10,6689	1,04095	1,615450823
0,57	10,6689	1,41449	1,979617417
0,571	10,6445	1,50009	1,960977749
0,572	10,6445	1,43967	1,760984246
0,573	10,6201	1,35086	1,538069206
0,574	10,6201	1,22238	1,27957283
0,575	10,6201	0,956879	0,866042011
0,576	10,6201	0,573883	0,33162535
0,577	10,5957	0,150604	0,179566673
0,578	10,5957	-0,422516	0,883427529
0,579	10,5957	-0,942535	1,476687253
0,58	10,5957	-0,965424	1,411258869
0,581	10,5957	-0,384979	0,595773972
0,582	10,6201	0,392609	0,374901247
0,583	10,6201	0,849152	0,92076762
0,584	10,6445	0,629425	0,586998697
0,585	10,6445	-0,188141	0,433097656
0,586	10,6689	-0,991058	1,40827494
0,587	10,6934	-1,2265	1,612836279
0,588	10,7178	-1,03394	1,26954215
0,589	10,7422	-0,963593	1,100584077
0,59	10,7666	-1,2674	1,409934453
0,591	10,791	-1,65298	1,802064022
0,592	10,8154	-1,63589	1,666217863
0,593	10,8398	-1,27747	1,11224467
0,594	10,8887	-1,04446	0,749841139
0,595	10,9131	-0,699158	0,269843094
0,596	10,9375	0,336761	1,003267035
0,597	10,9619	1,83945	2,817334521
0,598	11,0107	2,64389	3,644609535
0,599	11,0352	2,25082	2,923017827
0,6	11,0596	1,33972	1,599227564
0,601	11,084	0,707397	0,707084745
0,602	11,1084	0,218811	0,050668163
0,603	11,1084	-0,133209	0,353797048
0,604	11,1328	0,21225	0,061513063
0,605	11,1572	0,98053	1,016741446
0,606	11,1816	1,29425	1,34375106
0,607	11,2061	0,552521	0,330902804
0,608	11,2061	-0,923309	1,49593257
0,609	11,2305	-2,1666	2,954797467
0,61	11,2549	-1,93771	2,48177293
0,611	11,2549	-0,643768	0,707154401
0,612	11,2793	0,489502	0,715121558
0,613	11,3037	0,689545	0,918986258
0,614	11,3281	-0,177002	0,183195739
0,615	11,3281	-1,21277	1,465138574
0,616	11,3525	-1,70715	1,989799565
0,617	11,377	-1,59271	1,720470134
0,618	11,4014	-1,36444	1,32577567
0,619	11,4258	-1,44592	1,343068091
0,62	11,4502	-1,51962	1,349548997
0,621	11,4502	-1,25351	0,930860196
0,622	11,4746	-0,698853	0,177794638
0,623	11,4746	-0,037384	0,621469416
0,624	11,499	0,769043	1,589198454
0,625	11,499	2,00363	3,031323283
0,626	11,499	2,55569	3,529677987
0,627	11,499	1,91696	2,508232641
0,628	11,499	0,991669	1,192765349
0,629	11,499	0,346222	0,309756305
0,63	11,4746	-0,0753784	0,197963395
0,631	11,4746	-0,332642	0,505847851
0,632	11,4502	-0,489044	0,668310356
0,633	11,4502	-0,594635	0,757051291
0,634	11,4258	-0,562592	0,668173968
0,635	11,4014	-0,387115	0,405588472
0,636	11,377	-0,35675	0,34089171
0,637	11,377	-0,929413	1,034044965
0,638	11,3525	-1,71051	1,944188617
0,639	11,3281	-1,83151	1,972025006
0,64	11,3281	-1,38077	1,283437384
0,641	11,3037	-1,08871	0,836464998
0,642	11,3037	-1,20148	0,923614215
0,643	11,3037	-1,68808	1,472575185
0,644	11,3037	-2,3703	2,23156892
0,645	11,3281	-2,69043	2,490261173
0,646	11,3281	-2,34146	1,896324311
0,647	11,3525	-1,4978	0,721343104
0,648	11,3525	-0,475159	0,563538107
0,649	11,377	0,497131	1,742235826
0,65	11,4014	1,65161	3,074610034
0,651	11,4258	2,77847	4,288744951
0,652	11,4502	3,38776	4,779631021
